finding_id,severity,area,title,evidence,impact,current_output_valid,recommended_human_decision,requires_m1_m4_change
PM5-001,REVIEW,LFP representation,Role slots are semantic roles rather than independent sensors,"Four roles map to 1/2/3/4 unique physical channels in 2/17/7/1 sessions; recommended=theta in five sessions; spindle differs from recommended in 11",Current [recommended theta] creates [x x] in five sessions and omits a dedicated spindle channel in 11; both can affect weighting and identity shortcuts,Yes; values and causality are faithful to the frozen contract,"Choose before M5 among fixed role slots; unique physical channels plus role mapping; standardized GoodEEG main input; or explicitly role-aware features",Yes
PM5-002,REVIEW,Cache provenance,Loadable stale or altered cache arrays can be accepted,"Source signature is size+mtime; cache hit checks metadata and file existence but not NPY content hash/header/shape/dtype/finite values",Formal model evaluation could consume wrong cached arrays without detection,Current caches independently match one-shot reconstruction,Approve cache hardening and regression tests before formal training,Yes
PM5-003,REVIEW,Model input contract,Provenance and identity-cue fields coexist with signal tensors,"Sample object contains session_id physical channel IDs anatomy local unit IDs/shank/cellIx variable N and duplicate-role pattern",A future adapter that consumes fields indiscriminately can learn animal/session or acquisition shortcuts,Yes; M4 has not trained a model,Approve an explicit M5 input whitelist and shortcut-ablation plan,No M1-M4 semantic change; M5 contract needed
PM5-004,REVIEW,Anatomy provenance,Templeton coarse and per-channel anatomy claims disagree,"Official workbook animal heading=OFC; ChannelAnatomy.csv labels recommended channel 27=mPFC",Region-aware interpretation would depend on which source is privileged,Yes; anatomy is provenance only and not a feature,"Preserve both claims; decide source hierarchy before any anatomy-aware representation or regional analysis",No for present M4 signal values
PM5-005,WARN,Spike provenance,XML unit table is incomplete relative to SStable in four sessions,"Missing stable (shank cluster) pairs: BWRat20_101513 10; BWRat21_121613 4; BWRat21_121813 3; Dino_072414_mPFC 26",XML cannot be used as stable-unit identity truth,Yes; loader correctly uses SStable and CellIDs partitions are complete,Document SStable as authoritative stable-unit source,No
PM5-006,WARN,Condition provenance,BasicMetaData condition fields include stale/reused workspace values,"KetamineStartFile/KetamineTimeStamp appear in 12 sessions although official workbook identifies only two ketamine sessions and one saline session; BWRat21_121813 outvars includes copied content",Using field names alone would misclassify experimental condition,Yes; fields are not model input,Use official workbook as condition provenance and retain raw BMD values as untrusted supplemental claims,No
PM5-007,WARN,Support provenance,Additional sleepstart/sleepstop-like fields are not equivalent to GoodSleep,"sleepstart/stop recur with repeated values across unrelated sessions; using them would shorten BWRat20_101013",An undocumented switch to these fields would change support,Yes; frozen rule uses RecordingFileIntervals/GoodSleep/LFP and matches all 27 raw sources,Document why these workspace fields are excluded,No
PM5-008,WARN,Generic support implementation,Shorter legal analysis support than physical LFP is not implemented generically,"load_aligned_session/open_lfp_memmap require LFP duration to equal analysis_end; all 27 current sessions happen to satisfy equality",Future or external data with valid shorter GoodSleep/metadata support could fail despite the conceptual intersection rule,Yes for the fcx-1 release,Add synthetic test and make a separate human decision before claiming generality beyond current release,Potential future change
PM5-009,WARN,Numerical validation,Spike-bin grid validation uses np.allclose with default relative tolerance,"bin_width and contiguity checks specify atol=1e-12 but do not set rtol=0",At large absolute times a nontrivial gap could pass validation; generated M4 bins are integer-step exact,Yes for all current samples,Add rtol=0 edge regression and approve implementation tightening,Potential small implementation change
PM5-010,WARN,EEG geometry,Explicit byte-order provenance is absent,"Official MATLAB loader uses native int16; current loader fixes little-endian <i2; values and all geometry checks are plausible on x86/Windows",Porting to a different-endian platform lacks an explicit source statement,Yes,Document platform/source assumption or verify from release authoring provenance,No immediate change
PM5-011,WARN,Anatomy provenance,Five selected theta channels lack textual anatomy labels,"BWRat21_121113 plus four Dino ACC/mPFC releases have blank ChannelAnatomy entries for selected theta channel",Anatomy-stratified interpretation is incomplete,Yes; physical channel identity is valid and anatomy is not a feature,Retain missingness explicitly,No
PM5-012,INFO,Recording geometry,No new frame-geometry anomaly was found,"Only Dino_061914_ACC and Dino_061914_mPFC have the known 142-byte trailing partial frame; 142<284; all other remainders are zero",Confirms M3-B2.2 coverage,Yes,None,No
PM5-013,INFO,Spike clock,Only Jenn 20140526 has declared-grid mismatch,"Raw stable spikes are exact/preserved; 20140526 fits a 20 kHz observed grid while declared acquisition remains 1250 Hz",Confirms approved diagnostic-only treatment,Yes,None,No
PM5-014,INFO,Causality,FIR and physiological feature chains are strictly causal,"Phase-24 decimation uses latest raw sample 0.8 ms before bin right edge; future perturbation tests and one-shot equivalence pass",No future leakage found,Yes,None,No
PM5-015,INFO,Raw immutability,Raw release remained unchanged,"523 files present; size/mtime unchanged; 491 non-EEG SHA-256 hashes unchanged; raw EEG opened by memmap mode=r",Confirms audit and pipeline read-only behavior,Yes,None,No
PM5-016,INFO,Regression,All existing tests pass,"57 tests run; 57 passed; 0 failed; 0 skipped",Confirms no frozen behavior changed,Yes,None,No
